person_age,person_gender,person_education,person_state,person_income,person_emp_status,person_emp_exp,person_home_ownership,help_debt_amount,loan_amnt,loan_intent,loan_term_months,loan_int_rate,loan_percent_income,credit_history_length,credit_score,previous_loan_defaults_on_file,loan_status,flag_income_loan_mismatch,flag_young_high_loan
39,MALE,HIGH SCHOOL,QLD,62994,FULL-TIME,9,OWN,0,7600,DEBT_CONSOLIDATION,84,8.94,0.12064641076927961,17,843,NO,1,0,0
25,MALE,CERTIFICATE/DIPLOMA,SA,77107,FULL-TIME,5,MORTGAGE,0,14100,DEBT_CONSOLIDATION,36,12.25,0.1828627751047246,6,734,NO,0,0,0
45,FEMALE,CERTIFICATE/DIPLOMA,WA,30752,PART-TIME,21,RENT,0,36000,VEHICLE,12,18.35,1.1706555671175858,24,732,NO,0,1,0
38,MALE,BACHELOR,VIC,84232,FULL-TIME,5,FAMILY,7185,53000,PERSONAL,60,11.1,0.6292145502896761,16,969,NO,1,1,0
75,MALE,BACHELOR,NSW,141352,PART-TIME,1,MORTGAGE,0,17000,HOME_IMPROVEMENT,60,23.63,0.12026713452940178,57,845,YES,0,0,0
44,FEMALE,CERTIFICATE/DIPLOMA,ACT,162266,UNEMPLOYED,16,OWN,0,13900,PERSONAL,60,14.66,0.08566181455141558,23,714,NO,0,0,0
57,MALE,BACHELOR,VIC,86871,UNEMPLOYED,15,RENT,0,74200,PERSONAL,36,12.51,0.8541400467359648,37,838,NO,0,1,0
50,FEMALE,CERTIFICATE/DIPLOMA,NSW,68306,FULL-TIME,4,MORTGAGE,0,16600,HOLIDAY,60,15.6,0.24302403888384622,30,415,YES,1,0,0
35,FEMALE,BACHELOR,QLD,70855,PART-TIME,11,MORTGAGE,0,19600,HOME_IMPROVEMENT,60,12.69,0.2766212687883706,16,760,NO,1,0,0
42,MALE,BACHELOR,VIC,29072,FULL-TIME,6,MORTGAGE,35850,16800,HOME_IMPROVEMENT,48,22.54,0.5778756191524491,24,669,NO,0,1,0
40,MALE,HIGH SCHOOL,QLD,109799,FULL-TIME,1,MORTGAGE,0,9000,VEHICLE,36,11.51,0.08196795963533365,18,817,NO,1,0,0
58,MALE,BACHELOR,VIC,41443,FULL-TIME,9,RENT,17204,35500,HOME_IMPROVEMENT,12,16.2,0.8565982192408851,37,933,YES,1,1,0
46,FEMALE,POSTGRADUATE,TAS,53278,PART-TIME,13,RENT,0,9300,VEHICLE,24,16.01,0.1745561019557791,27,570,NO,1,0,0
49,MALE,BACHELOR,QLD,192805,FULL-TIME,3,MORTGAGE,0,61900,HOME_IMPROVEMENT,24,9.94,0.3210497653069163,28,974,NO,1,0,0
58,MALE,BACHELOR,NSW,48481,FULL-TIME,4,OWN,0,13000,DEBT_CONSOLIDATION,72,18.3,0.2681462841113013,38,770,NO,1,0,0
54,MALE,BACHELOR,WA,26955,PART-TIME,10,MORTGAGE,0,8600,DEBT_CONSOLIDATION,12,24.0,0.3190502689667965,32,688,NO,0,0,0
46,FEMALE,BACHELOR,NSW,82275,FULL-TIME,4,OWN,42688,19300,VEHICLE,24,13.14,0.2345791552719538,26,769,NO,1,0,0
54,FEMALE,HIGH SCHOOL,NSW,23538,PART-TIME,9,RENT,0,26200,MEDICAL,48,9.75,1.113093720791911,32,894,NO,1,1,0
49,MALE,HIGH SCHOOL,NSW,275282,FULL-TIME,18,MORTGAGE,0,11200,HOME_IMPROVEMENT,24,15.86,0.040685551543508114,29,796,YES,1,0,0
25,MALE,BACHELOR,QLD,76963,SELF-EMPLOYED,6,MORTGAGE,9772,35000,DEBT_CONSOLIDATION,60,13.87,0.45476397749567976,3,479,NO,0,0,0
53,FEMALE,POSTGRADUATE,QLD,47272,FULL-TIME,3,MORTGAGE,0,7100,HOME_IMPROVEMENT,60,17.03,0.1501946183787443,31,670,NO,0,0,0
